time,target_x_deg,target_y_deg,gimbal_pitch_rad,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_z,angular_x,angular_y,angular_z,vel_x,vel_y,vel_z
1769096195.890733,,,,0.134224281,-0.232224435,-0.021088036,0.963125646,53.06544495,66.50325775,37.43815231,-0.088741936,-0.064615481,0.060672525,-8.307086945,-3.578093767,-8.145825386
1769096195.893202,,,,,,,,,,,,,,,,
1769096195.901970,,,-0.097994342,,,,,,,,,,,,,
1769096195.908616,,,,,,,,,,,,,,,,
1769096195.910056,1.867767096,0.426338375,,,,,,,,,,,,,,
1769096195.910270,,,,0.133892149,-0.231476381,-0.02107919,0.963352084,52.88427353,66.4254303,37.26230621,-0.093456417,-0.028106904,0.111232355,-8.396521568,-3.59954524,-8.091814995
1769096195.911806,,,-0.096342348,,,,,,,,,,,,,
1769096195.925821,,,,0.133652538,-0.230863214,-0.021789122,0.963516772,52.88427353,66.4254303,37.26230621,-0.10085766,0.022395954,0.06569086,-8.396521568,-3.59954524,-8.091814995
1769096195.929221,,,,,,,,,,,,,,,,
1769096195.930331,1.867767096,0.426338375,,,,,,,,,,,,,,
1769096195.935086,,,,,,,,,,,,,,,,
1769096195.942802,,,-0.094690353,,,,,,,,,,,,,
1769096195.947740,,,,0.133454055,-0.23147051,-0.022372231,0.963385165,52.70158768,66.34701538,37.08800125,-0.063558787,0.104550257,0.062732421,-8.494275093,-3.632773638,-8.01166153
1769096195.947929,,,,,,,,,,,,,,,,
1769096195.948089,1.967575908,-0.056959074,,,,,,,,,,,,,,
1769096195.950155,,,-0.094690353,,,,,,,,,,,,,
1769096195.953929,,,,0.133241668,-0.230985254,-0.022059269,0.963538289,52.54476929,66.28013611,36.92506409,-0.066375934,0.093846835,0.091720529,-8.581960678,-3.673849821,-7.932610035
1769096195.962340,,,-0.094690353,,,,,,,,,,,,,
1769096195.968377,1.967575908,-0.056959074,,,,,,,,,,,,,,
1769096195.969223,,,,,,,,,,,,,,,,
1769096195.970529,,,,0.131772608,-0.231788591,-0.023766123,0.963506758,52.35566711,66.19905853,36.75201798,-0.064076155,0.121359378,0.141055197,-8.68303299,-3.714595556,-7.835788727
1769096195.979274,,,-0.096342348,,,,,,,,,,,,,
1769096195.987143,,,,0.130744293,-0.232884213,-0.023870807,0.963380098,52.1893158,66.11377716,36.41078949,-0.088667423,0.189124197,0.151616633,-8.694851875,-3.700736046,-8.107256889
1769096195.987957,,,,,,,,,,,,,,,,
1769096195.988096,1.996156216,-0.369717687,,,,,,,,,,,,,,
1769096196.001703,,,,,,,,,,,,,,,,
1769096196.008242,,,,,,,,,,,,,,,,
1769096196.008410,1.72529459,-0.540232778,,,,,,,,,,,,,,
1769096196.011791,,,-0.097994342,,,,,,,,,,,,,
1769096196.013680,,,,0.129494041,-0.234359592,-0.024424598,0.963177264,52.02658844,66.04479981,36.26339722,-0.200631008,0.212825567,0.148017704,-8.793781281,-3.710536718,-7.999286652
1769096196.017088,,,-0.09964633,,,,,,,,,,,,,
1769096196.021415,,,,0.128376126,-0.23508516,-0.025150973,0.963131368,52.02658844,66.04479981,36.26339722,-0.313732117,0.237770885,0.154038608,-8.793781281,-3.710536718,-7.999286652
1769096196.027532,,,,,,,,,,,,,,,,
1769096196.027845,1.72529459,-0.540232778,,,,,,,,,,,,,,
1769096196.029987,,,,,,,,,,,,,,,,
1769096196.032273,,,-0.102949485,,,,,,,,,,,,,
